Lat,Lon,BS
-34.154148,-61.45359,Bajo
-34.269272,-61.542309,Bajo
-35.859859,-58.437859,Bajo
-35.95612,-58.736832,Bajo
-35.87632,-58.552879,Bajo
-35.684231,-58.954823,Bajo
-37.187038,-56.955292,Bajo
-36.952881,-57.108601,Bajo
-37.25455,-61.2557,Bajo
-37.224091,-61.23867,Bajo
-37.504841,-61.360458,Bajo
-36.94529,-61.46476,Bajo
-37.2221,-61.15218,Bajo
-34.9403,-59.060101,Bajo
-34.9351,-58.9862,Bajo
-34.9133,-58.936401,Bajo
-34.9194,-58.9328,Bajo
-35.582417,-58.316151,Bajo
-35.384228,-58.263863,Bajo
-35.436008,-58.306988,Bajo
-35.558182,-58.393871,Bajo
-34.442982,-61.897549,Bajo
-38.03677,-57.66706,Bajo
-34.7127,-58.9981,Bajo
-34.627102,-58.977798,Bajo
-34.67074,-58.987392,Bajo
-34.692059,-58.961361,Bajo
-35.17208,-61.03147,Bajo
-34.843681,-60.942131,Bajo
-34.73598,-61.0194,Bajo
-35.03197,-61.07323,Bajo
-35.025181,-61.04966,Bajo
-34.763748,-60.963058,Bajo
-34.890598,-60.966042,Bajo
-34.795521,-60.824001,Bajo
-34.85694,-60.95202,Bajo
-34.91293,-61.10235,Bajo
-34.99408,-61.03524,Bajo
-35.05995,-60.9982,Bajo
-34.75494,-60.97554,Bajo
-34.9533,-60.929459,Bajo
-34.879978,-60.933331,Bajo
-35.08091,-61.16473,Bajo
-34.94693,-61.157139,Bajo
-35.21689,-61.01287,Bajo
-35.04404,-61.00936,Bajo
-35.113079,-61.12001,Bajo
-34.917149,-61.203388,Bajo
-34.985119,-61.047211,Bajo
-35.17408,-61.02924,Bajo
-35.02597,-60.894489,Bajo
-34.894272,-61.001202,Bajo
-35.06874,-61.09115,Bajo
-34.934334,-60.82152,Bajo
-34.825299,-60.788579,Bajo
-34.9594,-60.90626,Bajo
-34.991073,-61.080399,Bajo
-34.8388,-60.956482,Bajo
-34.989498,-61.124088,Bajo
-34.788052,-60.818748,Bajo
-35.05366,-62.95099,Bajo
-35.024319,-63.36784,Bajo
-35.27215,-63.31602,Bajo
-35.011158,-62.96093,Bajo
-35.17636,-63.20152,Bajo
-34.77702,-63.203381,Bajo
-37.90474,-60.103,Bajo
-37.83754,-60.51976,Bajo
-38.15223,-59.90163,Bajo
-38.048141,-60.166142,Bajo
-37.178371,-62.423286,Bajo
-36.69772,-62.37585,Bajo
-36.68202,-62.63702,Bajo
-36.731949,-62.448891,Bajo
-36.513641,-62.544868,Bajo
-36.645241,-62.603649,Bajo
-36.844349,-62.868389,Bajo
-36.155022,-61.340759,Bajo
-36.247959,-61.708271,Bajo
-36.1505,-61.4606,Bajo
-36.387989,-61.60503,Bajo
-36.278221,-61.740028,Bajo
-37.758636,-60.14006,Bajo
-37.630711,-59.832081,Bajo
-37.67794,-59.77621,Bajo
-37.840527,-59.644318,Bajo
-37.666176,-59.863289,Bajo
-37.68112,-59.8216,Bajo
-37.43894,-60.30416,Bajo
-37.696987,-59.7774,Bajo
-37.40606,-59.69263,Bajo
-37.646603,-59.78142,Bajo
-37.70862,-59.77537,Bajo
-34.69616,-61.17233,Bajo
-34.708767,-60.931732,Bajo
-34.450191,-60.967499,Bajo
-34.589359,-61.05323,Bajo
-34.749733,-60.952316,Bajo
-34.612911,-61.255241,Bajo
-34.5215,-60.820721,Bajo
-34.72915,-60.97569,Bajo
-34.561069,-61.037994,Bajo
-34.472992,-60.966129,Bajo
-34.461819,-60.86755,Bajo
-34.420338,-61.009056,Bajo
-34.450474,-60.90727,Bajo
-34.632881,-60.845592,Bajo
-34.66433,-60.76006,Bajo
-34.441528,-61.044281,Bajo
-34.63903,-60.84396,Bajo
-34.47771,-61.09623,Bajo
